Student_ID,Subject,Exam_Score,Homework_Completion_pct,Full_Name,Grade_Level,Attendance_Rate_%,Overall_Attendance_Rate_%,Homework_Done_Rate_%
S00040,Arabic,80.5,42.5,Frank Douglas,Grade 5,0.0,25.0,42.9
S00040,Science,75.5,37.5,Frank Douglas,Grade 5,100.0,25.0,42.9
S00041,Science,90.0,80.0,Robert Walters,Grade 1,33.3,20.0,50.0
S00042,History,79.5,97.5,Timothy Russell,Grade 3,0.0,25.0,0.0
S00042,Math,79.0,-5.0,Timothy Russell,Grade 3,25.0,25.0,0.0
S00042,Science,92.0,100.0,Timothy Russell,Grade 3,40.0,25.0,0.0
S00043,Math,85.0,100.0,Amanda Davis,Grade 2,0.0,23.5,50.0
S00044,Geography,66.0,100.0,Vicki Whitaker,Grade 1,0.0,12.1,37.5
S00044,History,108.0,100.0,Vicki Whitaker,Grade 1,0.0,12.1,37.5
S00044,Math,69.0,80.0,Vicki Whitaker,Grade 1,0.0,12.1,37.5
S00045,Geography,64.5,42.5,Melanie Martinez,Grade 5,16.7,34.3,50.0
S00045,Math,51.0,90.0,Melanie Martinez,Grade 5,40.0,34.3,50.0
S00045,Science,66.0,100.0,Melanie Martinez,Grade 5,75.0,34.3,50.0
S00046,Arabic,69.0,100.0,Michael Pennington,Grade 1,0.0,16.2,14.3
S00046,History,90.0,90.0,Michael Pennington,Grade 1,25.0,16.2,14.3
S00047,Arabic,70.0,97.5,deborah robinson,Grade 1,40.0,29.4,20.0
S00047,English,58.0,95.0,deborah robinson,Grade 1,20.0,29.4,20.0
S00047,History,73.0,100.0,deborah robinson,Grade 1,25.0,29.4,20.0
S00047,Math,80.33333333333333,56.666666666666664,deborah robinson,Grade 1,28.6,29.4,20.0
S00049,Geography,62.0,95.0,david soto,Grade 2,20.0,34.9,33.3
S00049,Science,44.0,95.0,david soto,Grade 2,33.3,34.9,33.3
S00050,Arabic,100.0,-5.0,Alex Evans,Grade 2,25.0,20.0,20.0
S00050,Geography,89.0,90.0,Alex Evans,Grade 2,0.0,20.0,20.0
S00050,History,58.0,80.0,Alex Evans,Grade 2,14.3,20.0,20.0
S00050,Math,88.0,80.0,Alex Evans,Grade 2,50.0,20.0,20.0
S00050,Science,67.5,95.0,Alex Evans,Grade 2,14.3,20.0,20.0
S00051,Geography,58.666666666666664,60.0,Jesse Hayes,Grade 5,50.0,12.9,0.0
S00052,Science,93.5,95.0,Robert Fox,Grade 4,50.0,31.8,66.7
S00053,Arabic,105.0,100.0,Brian Meyer,Grade 4,42.9,39.1,40.0
S00053,English,50.0,80.0,Brian Meyer,Grade 4,25.0,39.1,40.0
S00053,History,62.0,95.0,Brian Meyer,Grade 4,0.0,39.1,40.0
S00054,Arabic,71.0,80.0,Thomas Morales,Grade 2,12.5,18.6,40.0
S00054,History,79.0,90.0,Thomas Morales,Grade 2,40.0,18.6,40.0
S00054,Math,86.0,90.0,Thomas Morales,Grade 2,12.5,18.6,40.0
S00055,Arabic,49.0,-5.0,Susan Miller,Grade 4,25.0,23.3,20.0
S00055,English,95.0,90.0,Susan Miller,Grade 4,20.0,23.3,20.0
S00056,Geography,109.0,-5.0,Victoria Lewis,Grade 3,12.5,25.9,57.1
S00056,History,79.0,95.0,Victoria Lewis,Grade 3,0.0,25.9,57.1
S00057,English,74.0,95.0,Robert Foster,Grade 5,66.7,7.4,33.3
S00057,Science,83.0,90.0,Robert Foster,Grade 5,0.0,7.4,33.3
S00058,English,67.66666666666667,28.333333333333332,Steven Donovan,Grade 5,0.0,15.8,33.3
S00059,English,85.5,37.5,Kiara Meadows,Grade 2,16.7,34.4,60.0
S00059,History,105.0,100.0,Kiara Meadows,Grade 2,66.7,34.4,60.0
S00060,Science,69.5,95.0,Shawn Carroll,Grade 3,0.0,19.4,33.3
S00061,Geography,79.0,100.0,kent davenport,Grade 4,66.7,32.1,40.0
S00062,History,101.0,80.0,Jason Clark,Grade 3,0.0,13.9,0.0
S00063,English,56.0,100.0,jason marquez,Grade 2,25.0,24.1,33.3
S00063,History,58.0,-5.0,jason marquez,Grade 2,66.7,24.1,33.3
S00064,English,59.0,80.0,Danielle Curtis,Grade 3,25.0,19.2,0.0
S00064,Geography,48.0,95.0,Danielle Curtis,Grade 3,40.0,19.2,0.0
S00064,History,53.0,80.0,Danielle Curtis,Grade 3,0.0,19.2,0.0
S00064,Math,44.0,100.0,Danielle Curtis,Grade 3,25.0,19.2,0.0
S00065,Science,87.0,-5.0,Laura Stanley,Grade 2,14.3,30.3,40.0
S00066,Arabic,92.0,90.0,Wyatt Nelson,Grade 5,0.0,30.0,20.0
S00066,History,46.0,80.0,Wyatt Nelson,Grade 5,36.4,30.0,20.0
S00067,Arabic,107.0,95.0,Philip Hill,Grade 1,0.0,13.0,33.3
S00067,Science,44.0,95.0,Philip Hill,Grade 1,0.0,13.0,33.3
S00068,Arabic,53.5,45.0,Robert Clark,Grade 3,0.0,12.1,0.0
S00068,History,87.0,80.0,Robert Clark,Grade 3,50.0,12.1,0.0
S00068,Math,90.0,-5.0,Robert Clark,Grade 3,0.0,12.1,0.0
S00069,Arabic,99.0,100.0,william ford,Grade 5,20.0,19.4,25.0
S00069,History,46.0,95.0,william ford,Grade 5,25.0,19.4,25.0
S00069,Math,85.0,80.0,william ford,Grade 5,0.0,19.4,25.0
S00070,English,91.0,90.0,Martin Bennett MD,Grade 1,33.3,22.2,66.7
S00070,Math,81.0,95.0,Martin Bennett MD,Grade 1,0.0,22.2,66.7
S00070,Science,108.0,90.0,Martin Bennett MD,Grade 1,50.0,22.2,66.7
S00071,Arabic,91.0,100.0,Madison Ellis,Grade 4,0.0,17.2,60.0
S00071,English,101.0,95.0,Madison Ellis,Grade 4,0.0,17.2,60.0
S00072,English,42.0,-5.0,Dean Cook,Grade 4,0.0,28.6,44.4
S00073,Math,95.0,95.0,Christopher Salinas,Grade 5,20.0,18.2,40.0
S00074,English,108.0,95.0,Mr. Mark Erickson,Grade 4,33.3,25.6,25.0
S00075,English,91.0,97.5,Jasmine Allen,Grade 1,40.0,34.5,42.9
S00075,History,82.0,80.0,Jasmine Allen,Grade 1,12.5,34.5,42.9
S00076,Arabic,57.0,-5.0,robert martin,Grade 1,42.9,18.8,50.0
S00076,Science,105.0,-5.0,robert martin,Grade 1,25.0,18.8,50.0
S00077,English,72.0,90.0,Amanda Perry,Grade 2,0.0,18.5,12.5
S00077,Geography,61.0,80.0,Amanda Perry,Grade 2,0.0,18.5,12.5
S00077,Math,82.0,-5.0,Amanda Perry,Grade 2,75.0,18.5,12.5
S00077,Science,79.0,95.0,Amanda Perry,Grade 2,25.0,18.5,12.5
S00078,Arabic,82.0,-5.0,Brian Sims,Grade 3,25.0,21.9,28.6
S00078,English,67.5,45.0,Brian Sims,Grade 3,16.7,21.9,28.6
S00079,Geography,70.0,80.0,Krista Martinez,Grade 2,,28.6,16.7
S00079,Math,73.0,100.0,Krista Martinez,Grade 2,33.3,28.6,16.7
S00079,Science,60.0,100.0,Krista Martinez,Grade 2,66.7,28.6,16.7
S00080,Arabic,99.0,90.0,Aaron Baldwin,Grade 4,12.5,26.5,44.4
S00080,Math,76.0,90.0,Aaron Baldwin,Grade 4,75.0,26.5,44.4
S00080,Science,58.0,90.0,Aaron Baldwin,Grade 4,0.0,26.5,44.4
S00081,Geography,86.0,100.0,John Underwood,Grade 1,0.0,21.2,40.0
S00082,Arabic,72.0,87.5,Shawn Martin,Grade 4,30.0,41.2,0.0
S00082,Geography,70.5,85.0,Shawn Martin,Grade 4,37.5,41.2,0.0
S00082,Math,63.0,90.0,Shawn Martin,Grade 4,50.0,41.2,0.0
S00082,Science,86.0,90.0,Shawn Martin,Grade 4,60.0,41.2,0.0
S00083,Arabic,82.0,95.0,Michael Harrison,Grade 3,16.7,24.1,22.2
S00083,Geography,66.0,95.0,Michael Harrison,Grade 3,25.0,24.1,22.2
S00083,Science,70.0,90.0,Michael Harrison,Grade 3,0.0,24.1,22.2
S00084,Arabic,71.0,100.0,wanda eaton,Grade 4,0.0,21.9,100.0
S00084,History,79.0,90.0,wanda eaton,Grade 4,28.6,21.9,100.0
S00084,Math,76.0,80.0,wanda eaton,Grade 4,25.0,21.9,100.0
S00084,Science,88.0,90.0,wanda eaton,Grade 4,14.3,21.9,100.0
S00085,Arabic,44.0,90.0,Taylor Juarez,Grade 2,44.4,34.3,0.0
S00085,Geography,107.0,95.0,Taylor Juarez,Grade 2,16.7,34.3,0.0
S00086,Arabic,67.0,100.0,Michael Lee,Grade 3,0.0,13.8,40.0
S00086,Geography,71.0,95.0,Michael Lee,Grade 3,12.5,13.8,40.0
S00086,History,61.0,80.0,Michael Lee,Grade 3,33.3,13.8,40.0
S00086,Science,40.0,-5.0,Michael Lee,Grade 3,0.0,13.8,40.0
S00087,Arabic,74.0,100.0,Beth Mendoza,Grade 3,37.5,36.1,33.3
S00087,English,42.0,90.0,Beth Mendoza,Grade 3,50.0,36.1,33.3
S00087,Geography,110.0,100.0,Beth Mendoza,Grade 3,14.3,36.1,33.3
S00089,Arabic,46.0,90.0,Noah Dougherty,Grade 5,0.0,27.3,66.7
S00089,History,81.0,90.0,Noah Dougherty,Grade 5,33.3,27.3,66.7
S00089,Science,94.0,90.0,Noah Dougherty,Grade 5,0.0,27.3,66.7
S00090,Geography,59.0,90.0,David Downs,Grade 2,40.0,35.7,0.0
S00090,Math,76.5,92.5,David Downs,Grade 2,33.3,35.7,0.0
S00091,Arabic,52.0,-5.0,Mary Williams,Grade 3,50.0,34.8,40.0
S00091,English,78.0,-5.0,Mary Williams,Grade 3,50.0,34.8,40.0
S00092,Arabic,78.5,100.0,Jason Parker,Grade 3,20.0,28.1,0.0
S00092,History,64.5,90.0,Jason Parker,Grade 3,50.0,28.1,0.0
S00092,Math,65.0,80.0,Jason Parker,Grade 3,16.7,28.1,0.0
S00093,Arabic,104.0,100.0,robert stewart,Grade 1,20.0,16.1,0.0
S00093,English,106.0,90.0,robert stewart,Grade 1,0.0,16.1,0.0
S00093,Science,63.0,100.0,robert stewart,Grade 1,25.0,16.1,0.0
S00094,History,86.0,100.0,paul ortega,Grade 2,25.0,22.2,40.0
S00094,Math,99.0,95.0,paul ortega,Grade 2,44.4,22.2,40.0
S00095,Arabic,98.0,-5.0,George Williams,Grade 2,0.0,31.0,14.3
S00095,Geography,51.0,-5.0,George Williams,Grade 2,75.0,31.0,14.3
S00095,History,56.0,-5.0,George Williams,Grade 2,50.0,31.0,14.3
S00096,Science,109.0,90.0,Dawn Hall,Grade 4,50.0,18.5,33.3
S00097,Arabic,108.0,95.0,Tyler Schroeder,Grade 5,0.0,26.7,50.0
S00097,Geography,74.5,95.0,Tyler Schroeder,Grade 5,42.9,26.7,50.0
S00097,History,71.0,80.0,Tyler Schroeder,Grade 5,25.0,26.7,50.0
S00097,Math,97.0,95.0,Tyler Schroeder,Grade 5,60.0,26.7,50.0
S00098,Arabic,93.0,-5.0,Courtney Taylor,Grade 3,0.0,15.6,50.0
S00098,Math,78.0,80.0,Courtney Taylor,Grade 3,20.0,15.6,50.0
S00099,English,52.0,100.0,Jason George,Grade 2,50.0,30.6,20.0
S00099,History,46.0,80.0,Jason George,Grade 2,25.0,30.6,20.0
S00101,Arabic,102.5,92.5,William Mitchell,Grade 5,38.5,22.0,0.0
S00101,Geography,99.0,95.0,William Mitchell,Grade 5,12.5,22.0,0.0
S00102,Arabic,72.0,61.666666666666664,Stacey Ramos,Grade 4,0.0,29.2,33.3
S00102,Geography,50.0,80.0,Stacey Ramos,Grade 4,25.0,29.2,33.3
S00102,History,52.0,100.0,Stacey Ramos,Grade 4,0.0,29.2,33.3
S00103,Arabic,76.0,95.0,Jacqueline Richard,Grade 5,11.1,15.8,30.8
S00103,History,72.0,100.0,Jacqueline Richard,Grade 5,0.0,15.8,30.8
S00103,Math,107.0,-5.0,Jacqueline Richard,Grade 5,30.0,15.8,30.8
S00105,English,78.0,80.0,John Singleton,Grade 3,20.0,19.2,25.0
S00105,Geography,80.0,80.0,John Singleton,Grade 3,25.0,19.2,25.0
S00105,History,100.0,47.5,John Singleton,Grade 3,33.3,19.2,25.0
S00106,History,97.0,80.0,Matthew Chandler,Grade 1,0.0,31.2,25.0
S00107,English,101.0,100.0,Brian Ferguson,Grade 3,33.3,25.9,40.0
S00108,English,106.0,80.0,James Orozco,Grade 5,12.5,18.8,60.0
S00108,Math,53.0,100.0,James Orozco,Grade 5,10.0,18.8,60.0
S00109,History,55.0,85.0,Sandy Lee,Grade 1,0.0,14.7,33.3
S00109,Math,87.0,90.0,Sandy Lee,Grade 1,16.7,14.7,33.3
S00110,English,45.0,-5.0,Scott Perez,Grade 5,28.6,18.2,50.0
S00110,History,97.0,95.0,Scott Perez,Grade 5,16.7,18.2,50.0
S00110,Math,41.0,80.0,Scott Perez,Grade 5,0.0,18.2,50.0
S00112,English,60.0,95.0,Barbara Taylor,Grade 5,16.7,22.6,0.0
S00112,Geography,79.0,65.0,Barbara Taylor,Grade 5,40.0,22.6,0.0
S00112,Science,103.0,90.0,Barbara Taylor,Grade 5,0.0,22.6,0.0
S00113,Arabic,64.0,56.666666666666664,Brandon Garcia,Grade 2,28.6,37.9,20.0
S00113,English,40.0,100.0,Brandon Garcia,Grade 2,33.3,37.9,20.0
S00113,Geography,59.0,85.0,Brandon Garcia,Grade 2,62.5,37.9,20.0
S00113,History,51.0,80.0,Brandon Garcia,Grade 2,0.0,37.9,20.0
S00113,Science,83.0,80.0,Brandon Garcia,Grade 2,40.0,37.9,20.0
S00114,Math,73.5,80.0,Kathryn Wilson,Grade 2,12.5,12.9,0.0
S00115,Geography,61.0,100.0,Brian Lowe,Grade 3,20.0,20.0,80.0
S00116,Arabic,74.0,95.0,Julie Schneider,Grade 1,0.0,18.5,25.0
S00116,English,100.0,80.0,Julie Schneider,Grade 1,0.0,18.5,25.0
S00116,Math,44.0,-5.0,Julie Schneider,Grade 1,0.0,18.5,25.0
S00117,Geography,84.0,-5.0,Julie Bush,Grade 5,75.0,36.1,25.0
S00117,History,74.0,97.5,Julie Bush,Grade 5,60.0,36.1,25.0
S00119,Math,54.0,95.0,Kimberly Ryan,Grade 1,40.0,14.8,33.3
S00119,Science,71.0,90.0,Kimberly Ryan,Grade 1,0.0,14.8,33.3
S00120,Arabic,45.0,80.0,Paul Ramos,Grade 1,33.3,18.6,66.7
S00120,English,56.0,85.0,Paul Ramos,Grade 1,14.3,18.6,66.7
S00121,History,90.0,95.0,Benjamin Martin,Grade 4,33.3,31.4,37.5
S00122,Geography,67.0,100.0,kristine johnston,Grade 4,50.0,17.5,50.0
S00122,History,55.5,90.0,kristine johnston,Grade 4,0.0,17.5,50.0
S00122,Math,47.0,-5.0,kristine johnston,Grade 4,22.2,17.5,50.0
S00122,Science,74.0,95.0,kristine johnston,Grade 4,0.0,17.5,50.0
S00123,English,76.0,90.0,Elizabeth Morales,Grade 2,100.0,26.3,33.3
S00123,Math,51.5,95.0,Elizabeth Morales,Grade 2,40.0,26.3,33.3
S00123,Science,83.0,80.0,Elizabeth Morales,Grade 2,0.0,26.3,33.3
S00124,Arabic,87.0,-5.0,Glenn Alexander,Grade 5,28.6,27.6,25.0
S00124,English,71.0,-5.0,Glenn Alexander,Grade 5,14.3,27.6,25.0
S00124,Geography,59.0,95.0,Glenn Alexander,Grade 5,0.0,27.6,25.0
S00124,History,98.5,37.5,Glenn Alexander,Grade 5,40.0,27.6,25.0
S00125,Arabic,106.0,95.0,Charles Guerrero,Grade 5,33.3,23.8,40.0
S00125,Math,60.0,100.0,Charles Guerrero,Grade 5,25.0,23.8,40.0
S00126,Arabic,87.0,95.0,Jeremy Rhodes,Grade 3,40.0,21.7,66.7
S00126,History,58.0,-5.0,Jeremy Rhodes,Grade 3,33.3,21.7,66.7
S00126,Math,107.0,95.0,Jeremy Rhodes,Grade 3,0.0,21.7,66.7
S00127,Math,85.5,92.5,Denise Evans,Grade 3,12.5,12.9,66.7
S00128,Geography,80.0,95.0,Dr. Jamie Stewart,Grade 3,33.3,26.5,50.0
S00129,Arabic,81.0,100.0,Anthony White,Grade 2,12.5,28.9,0.0
S00129,Math,51.0,95.0,Anthony White,Grade 2,75.0,28.9,0.0
S00130,English,55.0,80.0,Eduardo Miranda,Grade 1,0.0,12.5,50.0
S00130,Geography,81.0,-5.0,Eduardo Miranda,Grade 1,30.0,12.5,50.0
S00130,History,53.0,-5.0,Eduardo Miranda,Grade 1,20.0,12.5,50.0
S00130,Math,92.0,-5.0,Eduardo Miranda,Grade 1,0.0,12.5,50.0
S00131,English,104.0,95.0,Gregory Schroeder,Grade 3,33.3,11.1,33.3
S00131,Science,100.0,95.0,Gregory Schroeder,Grade 3,0.0,11.1,33.3
S00132,Arabic,46.0,90.0,Jeremiah Frank,Grade 1,60.0,32.1,75.0
S00132,English,57.0,90.0,Jeremiah Frank,Grade 1,0.0,32.1,75.0
S00134,English,108.0,-5.0,Brett Knight,Grade 4,,37.0,50.0
S00134,History,88.0,90.0,Brett Knight,Grade 4,0.0,37.0,50.0
S00134,Math,79.0,37.5,Brett Knight,Grade 4,57.1,37.0,50.0
S00135,Arabic,89.0,80.0,Traci Johnson,Grade 1,0.0,15.2,33.3
S00135,History,82.0,100.0,Traci Johnson,Grade 1,60.0,15.2,33.3
S00135,Science,87.0,80.0,Traci Johnson,Grade 1,0.0,15.2,33.3
S00136,History,88.0,90.0,Mr. John Salas,Grade 2,28.6,23.1,50.0
S00136,Science,43.0,-5.0,Mr. John Salas,Grade 2,16.7,23.1,50.0
S00137,History,50.0,95.0,Cory Garcia,Grade 4,0.0,14.3,25.0
S00137,Science,79.5,85.0,Cory Garcia,Grade 4,28.6,14.3,25.0
S00138,History,67.5,-5.0,michael mccall,Grade 2,28.6,26.2,40.0
S00139,Arabic,85.0,97.5,Jeffrey Pace,Grade 5,25.0,29.2,50.0
S00139,English,64.0,80.0,Jeffrey Pace,Grade 5,25.0,29.2,50.0
S00139,Geography,75.0,90.0,Jeffrey Pace,Grade 5,0.0,29.2,50.0
S00139,Science,67.0,95.0,Jeffrey Pace,Grade 5,50.0,29.2,50.0
S00140,English,70.0,80.0,Joshua Smith,Grade 3,0.0,31.0,25.0
S00140,History,50.0,95.0,Joshua Smith,Grade 3,0.0,31.0,25.0
S00140,Science,50.0,-5.0,Joshua Smith,Grade 3,42.9,31.0,25.0
S00141,English,54.0,80.0,mary mccullough dds,Grade 5,33.3,23.5,57.1
S00141,History,44.0,-5.0,mary mccullough dds,Grade 5,12.5,23.5,57.1
S00141,Science,61.0,95.0,mary mccullough dds,Grade 5,16.7,23.5,57.1
S00142,Arabic,46.0,-5.0,Brian Phillips,Grade 5,14.3,20.0,44.4
S00142,English,88.0,-5.0,Brian Phillips,Grade 5,50.0,20.0,44.4
S00143,Geography,43.0,-5.0,cynthia macdonald,Grade 3,0.0,20.0,42.9
S00143,History,46.0,90.0,cynthia macdonald,Grade 3,16.7,20.0,42.9
S00144,Geography,78.5,97.5,Dylan Riddle,Grade 5,20.0,21.9,50.0
S00145,Math,78.0,-5.0,Bonnie Mitchell,Grade 3,0.0,11.5,20.0
S00146,Arabic,98.0,85.0,Kaylee Stewart,Grade 1,33.3,29.0,33.3
S00146,English,89.0,95.0,Kaylee Stewart,Grade 1,50.0,29.0,33.3
S00147,Arabic,61.0,90.0,Kimberly Williams,Grade 2,12.5,21.9,100.0
S00147,Math,63.0,-5.0,Kimberly Williams,Grade 2,0.0,21.9,100.0
S00148,Arabic,101.0,90.0,travis moreno,Grade 5,33.3,32.3,33.3
S00148,History,67.0,-5.0,travis moreno,Grade 5,50.0,32.3,33.3
S00148,Math,85.0,100.0,travis moreno,Grade 5,14.3,32.3,33.3
S00148,Science,65.0,97.5,travis moreno,Grade 5,0.0,32.3,33.3
S00149,English,60.0,90.0,Nicholas Pope,Grade 3,50.0,18.9,25.0
S00149,Geography,57.0,80.0,Nicholas Pope,Grade 3,10.0,18.9,25.0
S00150,Arabic,69.0,-5.0,William Griffin,Grade 5,40.0,40.0,0.0
S00150,Geography,72.0,80.0,William Griffin,Grade 5,63.6,40.0,0.0
S00150,Science,55.0,90.0,William Griffin,Grade 5,33.3,40.0,0.0
S00151,Geography,101.0,-5.0,Kenneth Mccormick,Grade 1,12.5,22.6,50.0
S00151,Science,83.0,80.0,Kenneth Mccormick,Grade 1,0.0,22.6,50.0
S00152,English,53.5,47.5,Hannah Baker,Grade 5,20.0,27.8,0.0
S00152,History,78.0,-5.0,Hannah Baker,Grade 5,25.0,27.8,0.0
S00152,Math,40.0,-5.0,Hannah Baker,Grade 5,33.3,27.8,0.0
S00152,Science,67.0,100.0,Hannah Baker,Grade 5,0.0,27.8,0.0
S00153,Arabic,67.0,37.5,Megan Noble,Grade 2,0.0,20.0,16.7
S00153,History,62.0,-5.0,Megan Noble,Grade 2,14.3,20.0,16.7
S00154,Geography,40.0,95.0,Chris Robles,Grade 4,83.3,20.0,25.0
S00154,History,108.0,100.0,Chris Robles,Grade 4,0.0,20.0,25.0
S00154,Science,77.0,90.0,Chris Robles,Grade 4,0.0,20.0,25.0
S00155,Arabic,97.0,80.0,Sean Baker,Grade 3,25.0,33.3,50.0
